average_packet_size,packet_length_mean,subflow_fwd_bytes,total_fwd_packet_length,fwd_header_length, fwd_packet_length_max,packet_length_std,packet_length_variance,max_packet_length,init_win_bytes_fwd,flow_iat_max,fwd_iat_max,flow_duration,fwd_segment_size,fwd_packet_length_mean,flow_bytes_per_sec,fwd_iat_total,fwd_iat_mean,fwd_packets_per_second,avg_bwd_segment_size,Label
565.474359,565.474359,31828,44107,84470,2866,669.3998216,448096.1211,2866,65160,2.157356501,2.157356501,7.487560987,565.474359,565.474359,5890.703271,7.487560987,0.097241052,10.41727742,0,BENIGN
559.7594937,559.7594937,31942,44221,84650,2866,667.0618216,444971.4738,2866,65160,2.157356501,2.157356501,7.487561464,559.7594937,559.7594937,5905.928146,7.487561464,0.095994378,10.55083159,0,BENIGN
658.4153846,658.4153846,41555,41555,80038,1399,609.4075532,371377.5659,1399,32120,2.113251209,2.113251209,7.552507162,649.296875,649.296875,5666.59509,7.552507162,0.119881066,8.474007191,1242,BENIGN
559.3375,559.3375,32468,44747,85654,2866,662.8901859,439423.3986,2866,65160,2.157356501,2.157356501,7.568739414,559.3375,559.3375,5912.080936,7.568739414,0.095806828,10.56979183,0,BENIGN
649.7424242,649.7424242,41641,41641,80162,1399,608.8020604,370639.9488,1399,32120,2.113251209,2.113251209,7.698235035,640.6307692,640.6307692,5570.497628,7.698235035,0.120284922,8.443493827,1242,BENIGN
562.8765432,562.8765432,33314,45593,87298,2866,659.5456046,435000.4045,2866,65160,2.157356501,2.157356501,7.635556698,562.8765432,562.8765432,5971.142879,7.635556698,0.095444459,10.60826384,0,BENIGN
641.3283582,641.3283582,41727,41727,80286,1399,608.0958631,369780.5787,1399,32120,2.113251209,2.113251209,7.722021103,632.2272727,632.2272727,5564.475858,7.722021103,0.118800325,8.54698519,1242,BENIGN
82.37142857,82.37142857,2714,2714,3796,97,16.64775526,277.1477551,169,0,3.67034483,3.67034483,14.79227877,79.82352941,79.82352941,194.8989771,14.79227877,0.448250872,2.298496434,169,BENIGN
82.13888889,82.13888889,2788,2788,3896,97,16.47245643,271.341821,169,0,3.67034483,3.67034483,14.79248166,79.65714286,79.65714286,199.8988451,14.79248166,0.43507299,2.366066817,169,BENIGN
150.4242424,150.4242424,106,4964,8344,261,50.17788376,2517.820018,261,0,3.666773319,3.666773319,14.95886803,150.4242424,150.4242424,331.8432913,14.95886803,0.467464626,2.206049277,0,BENIGN
149.8235294,149.8235294,236,5094,8556,261,49.55476506,2455.67474,261,0,3.666773319,3.666773319,14.9588685,149.8235294,149.8235294,340.5337776,14.9588685,0.453299046,2.272899183,0,BENIGN
652.4705882,652.4705882,43126,43126,83036,1399,610.459361,372660.6315,1399,32120,2.113251209,2.113251209,8.090766907,643.6716418,643.6716418,5483.781762,8.090766907,0.122587377,8.281044402,1242,BENIGN
663.2898551,663.2898551,44525,44525,85786,1399,612.5517098,375219.5971,1399,32120,2.113251209,2.113251209,8.091573715,654.7794118,654.7794118,5656.130885,8.091573715,0.120769757,8.403804055,1242,BENIGN
664.1285714,664.1285714,45247,45247,87182,1399,608.2005055,369907.8549,1399,32120,2.113251209,2.113251209,8.091920853,655.7536232,655.7536232,5745.113039,8.091920853,0.118998836,8.52702359,1242,BENIGN
661.2112676,661.2112676,45704,45704,88048,1399,604.3952609,365293.6314,1399,32120,2.113251209,2.113251209,8.097631693,652.9142857,652.9142857,5797.497562,8.097631693,0.117356981,8.644502819,1242,BENIGN
654,654,45846,45846,88284,1399,603.2514217,363912.2778,1399,32120,2.113251209,2.113251209,8.098188639,645.7183099,645.7183099,5814.63363,8.098188639,0.115688409,8.767392706,1242,BENIGN
1399,1399,1399,1399,2750,1399,0,0,1399,0,0,0,0,1399,1399,0,0,0,0,0,BENIGN
664.2054795,664.2054795,47245,47245,91034,1399,605.3314038,366426.1085,1399,32120,2.113251209,2.113251209,8.124361515,656.1805556,656.1805556,5968.099759,8.124361515,0.114427627,8.86223488,1242,BENIGN
